,Unnamed: 0,heading,website,code,status
160,0,Rossig + Partner Arbeitsgemeinschaft Immobilienvermittlung,http://www.rossig-partner.de,200.0,OK
161,1,Ruhrfabrik Unternehmensgruppe,http://www.krell.de,403.0,OK
162,2,Schimbke Immobilien Beratung u. Verkauf Immobilienberatung,http://www.schimbke-immobilien.de,200.0,OK
163,3,SL Immobilien GmbH,http://www.bahnhof-hoesel.de,404.0,Not Found
164,4,Stadthaus Kg van Megen Immobilien Reinhold,http://www.vanmegen.de,200.0,OK
165,5,SW-Immobiliengesellschaft mbH Immobilienhandel,http://www.schulte-sohn.net,404.0,Not Found
166,6,Tectareal Property Management GmbH,http://www.tectareal.de,200.0,OK
167,7,TRI-Invest Immobilien GmbH & Co.KG,http://www.tri-invest.de,200.0,OK
168,8,TRI-Invest Immobilien GmbH & Co.KG,http://www.tri-invest.de,200.0,OK
169,9,van der Meulen Immobilien GmbH,http://www.vandermeulen.de,200.0,OK
170,0,Visionautovermietung-Reisen Autovermietung,http://www.vision-autovermietung.de,200.0,OK
171,1,Viterra Development GmbH,http://www.viterra-gewerbeimmobilien.de,200.0,OK
172,2,Walterscheidt Bettina Dipl.-Kauffrau Immobilienverwaltung,http://www.info-walterscheidt.de,404.0,Not Found
173,3,Welk Alex Immobilienmaklerbüro,http://www.euc-immobilien.de,404.0,Not Found
174,4,Weymann Immobilien,http://www.weymann-immobilien.de,200.0,OK
175,5,Wohnglück Immobilienservice GmbH,http://www.wohnglueckimmobilien.com,200.0,OK
176,6,Wohnkontor GmbH Immobilien,http://www.wohnkontor-gmbh.de,200.0,OK
177,7,WOHNWERK VIKTORIA UG (haftungsbeschränkt),http://www.wohnwerkviktoria.promakler24.de,404.0,Not Found
178,8,7islands,http://www.home7islands.com,404.0,Not Found
179,9,"AbacO Immobilien Essen, Kampschulte Britta Dipl.-Ing.",http://www.abaco-essen.de,200.0,OK
180,0,Aic Essen Walther Arens,http://www.aic-essen.de,200.0,OK
181,1,Arganpflege vertreten durch Wolfgang Breker,http://www.arganpflege.de,200.0,OK
182,2,ATI Immobilien GmbH,http://www.schnellsuchen.net,404.0,Not Found
183,3,Barbara Battista Landlord Immobilien,http://www.landlord-immobilien.de,200.0,OK
184,4,BARS GmbH,http://www.mithatbars.com/,200.0,OK
185,5,Behrens Renate Immobilien,http://www.katja-goymann.de,200.0,OK
186,6,Beier Immobilien GmbH Immobilienmakler,http://www.beier-immobilien.com,200.0,OK
187,7,BOND Immobilien Alex Bondarenko,http://www.bond-immobilien.de,200.0,OK
188,8,Carsanbali Ismail,http://www.agentur-ekosten.de,404.0,Not Found
189,9,Casa Consult Ulrich Kalbhenn GbR Bettina Wunderlich,http://www.casa-consult-immobilien.de,404.0,Not Found
190,0,Commerz Building and Management GmbH,http://www.commerzbuilding.de,200.0,OK
191,1,CORVIS Immobilien Management GmbH,http://www.im.corvis.org,200.0,OK
192,2,DB Immobilien GmbH,http://www.bahnliegenschaften.de,200.0,OK
